3.82	0.062537313
2.29	0.117313433
1.87	0.049552239
1.26	0.036069652
2.57	0.059303483
1.77	0.123283582
3.52	0.122537313
1.91	0.028208955
1.75	0.038059701
2.8	0.045771144
1.03	0.074029851
1.51	0.051243781
1.84	0.015721393
3.4	0.054726368
1.36	0.029552239
2.03	0.061492537
1.54	0.103532338
2.58	0.085373134
1.92	0.177014925
1.67	0.048557214
3.21	0.067412935
2.16	0.212537313
1.86	0.038358209
2.22	0.027363184
2	0.072736318
2.39	0.07
1.85	0.035174129
1.75	0.057661692
1.84	0.088433546
1.53	0.065831697
1.17	0.025732195
1.87	0.042756503
2.51	0.030099502
2.22	0.114179104
2.72	0.042925941
1.68	0.035671642
2.85	0.097219331
2.2	0.036915423
2.07	0.126458279
1.86	0.026567164
1.25	0.028179388
2.22	0.052279175
4.46	0.055223881
2.65	0.078910874
1.59	0.065422886
1.22	0.057692678
3.4	0.036069652
2.52	0.079522672
2	0.052209239
3.53	0.096736602
2.43	0.05159204
1.49	0.078348826
1.25	0.034348543
2.62	0.072164889
1.45	0.045223881
2.02	0.082039801
1.57	0.05880597
1.14	0.026467662
1.9	0.135522388
1.72	0.048243923
1.98	0.066716418
1.94	0.039054726
5.5	0.058741435
2	0.070055152
1.43	0.058875906
2.9	0.031477754
2.2	0.098114854
1.87	0.031542289
1.45	0.068159204
1.96	0.069154229
1.4	0.059154229
1.68	0.042671784
1.35	0.032238806
2.12	0.098955224
2.26	0.044527363
3.61	0.175522388
2.07	0.078208955
2.85	0.088557214
4.35	0.137860697
1.31	0.059154229
2	0.102636816
2.58	0.083084577
4.52	0.046666667
2.01	0.092189055
1.57	0.013438237
1.72	0.03588685
1.45	0.066927644
1.22	0.027722245
0.69	0.005876048
1.38	0.031424021
1.37	0.050240793
3.38	0.037598576
4.05	0.125422886
0.9	0.081940299
2.52	0.125920398
3.11	0.152835821
4.1	0.082089552
